Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","27","Bulgaria","5318","Milk Animals","982","Milk, whole fresh sheep","2017","2017","Head","1026221","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5318","Milk Animals","982","Milk, whole fresh sheep","2018","2018","Head","1038260","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5318","Milk Animals","982","Milk, whole fresh sheep","2019","2019","Head","999060","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","948","Offals, edible, buffaloes","2015","2015","Head","842","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","948","Offals, edible, buffaloes","2016","2016","Head","1219","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","948","Offals, edible, buffaloes","2017","2017","Head","1893","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","868","Offals, edible, cattle","2015","2015","Head","137271","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","868","Offals, edible, cattle","2016","2016","Head","188655","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","868","Offals, edible, cattle","2017","2017","Head","117417","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","1018","Offals, edible, goats","2015","2015","Head","173626","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","1018","Offals, edible, goats","2016","2016","Head","174730","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","1018","Offals, edible, goats","2017","2017","Head","158354","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","1098","Offals, horses","2015","2015","Head","5","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","1098","Offals, horses","2016","2016","Head","5","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","1098","Offals, horses","2017","2017","Head","5","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","1036","Offals, pigs, edible","2015","2015","Head","1043757","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","1036","Offals, pigs, edible","2016","2016","Head","1087629","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","1036","Offals, pigs, edible","2017","2017","Head","1111859","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","978","Offals, sheep,edible","2015","2015","Head","980528","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","978","Offals, sheep,edible","2016","2016","Head","873000","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","978","Offals, sheep,edible","2017","2017","Head","856876","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","1025","Skins, goat, fresh","2015","2015","Head","173626","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","1025","Skins, goat, fresh","2016","2016","Head","174730","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","1025","Skins, goat, fresh","2017","2017","Head","158354","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","995","Skins, sheep, fresh","2015","2015","Head","980528","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","995","Skins, sheep, fresh","2016","2016","Head","873000","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","995","Skins, sheep, fresh","2017","2017","Head","856876","","Official data"
"QCL","Crops and livestock products","233","Burkina Faso","5313","Laying","1062","Eggs, hen, in shell","2015","2015","1000 Head","16800","F","FAO estimate"
"QCL","Crops and livestock products","233","Burkina Faso","5313","Laying","1062","Eggs, hen, in shell","2016","2016","1000 Head","16500","F","FAO estimate"
"QCL","Crops and livestock products","233","Burkina Faso","5313","Laying","1062","Eggs, hen, in shell","2017","2017","1000 Head","15500","F","FAO estimate"
"QCL","Crops and livestock products","233","Burkina Faso","5313","Laying","1062","Eggs, hen, in shell","2018","2018","1000 Head","16370","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","233","Burkina Faso","5313","Laying","1062","Eggs, hen, in shell","2019","2019","1000 Head","16653","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","233","Burkina Faso","5320","Producing Animals/Slaughtered","1129","Fat, camels","2015","2015","Head","1384","Im","FAO data based on imputation methodology"
