Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1185","Silk-worm cocoons, reelable","2019","2019","tonnes","500","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1025","Skins, goat, fresh","2015","2015","tonnes","7218","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1025","Skins, goat, fresh","2016","2016","tonnes","6810","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1025","Skins, goat, fresh","2017","2017","tonnes","6910","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1025","Skins, goat, fresh","2018","2018","tonnes","7029","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1025","Skins, goat, fresh","2019","2019","tonnes","7199","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","995","Skins, sheep, fresh","2015","2015","tonnes","17005","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","995","Skins, sheep, fresh","2016","2016","tonnes","17055","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","995","Skins, sheep, fresh","2017","2017","tonnes","17827","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","995","Skins, sheep, fresh","2018","2018","tonnes","17967","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","995","Skins, sheep, fresh","2019","2019","tonnes","13649","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","987","Wool, greasy","2015","2015","tonnes","15231","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","987","Wool, greasy","2016","2016","tonnes","15094","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","987","Wool, greasy","2017","2017","tonnes","14973","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","987","Wool, greasy","2018","2018","tonnes","14800","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","987","Wool, greasy","2019","2019","tonnes","14722","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","3","Albania","5510","Production","1062","Eggs, hen, in shell","2015","2015","tonnes","52290","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1062","Eggs, hen, in shell","2016","2016","tonnes","52950","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1062","Eggs, hen, in shell","2017","2017","tonnes","51099","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1062","Eggs, hen, in shell","2018","2018","tonnes","52133","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1062","Eggs, hen, in shell","2019","2019","tonnes","54527","","Official data"
"QCL","Crops and livestock products","3","Albania","5513","Production","1067","Eggs, hen, in shell (number)","2015","2015","1000 No","830000","","Official data"
"QCL","Crops and livestock products","3","Albania","5513","Production","1067","Eggs, hen, in shell (number)","2016","2016","1000 No","830005","","Official data"
"QCL","Crops and livestock products","3","Albania","5513","Production","1067","Eggs, hen, in shell (number)","2017","2017","1000 No","811088","","Official data"
"QCL","Crops and livestock products","3","Albania","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","827508","","Official data"
"QCL","Crops and livestock products","3","Albania","5513","Production","1067","Eggs, hen, in shell (number)","2019","2019","1000 No","865510","","Official data"
"QCL","Crops and livestock products","3","Albania","5510","Production","1091","Eggs, other bird, in shell","2015","2015","tonnes","197","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","3","Albania","5510","Production","1091","Eggs, other bird, in shell","2016","2016","tonnes","200","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","3","Albania","5510","Production","1091","Eggs, other bird, in shell","2017","2017","tonnes","200","F","FAO estimate"
"QCL","Crops and livestock products","3","Albania","5510","Production","1091","Eggs, other bird, in shell","2018","2018","tonnes","200","F","FAO estimate"
"QCL","Crops and livestock products","3","Albania","5510","Production","1091","Eggs, other bird, in shell","2019","2019","tonnes","200","F","FAO estimate"
"QCL","Crops and livestock products","3","Albania","5513","Production","1092","Eggs, other bird, in shell (number)","2015","2015","1000 No","3120","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","3","Albania","5513","Production","1092","Eggs, other bird, in shell (number)","2016","2016","1000 No","3120","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","3","Albania","5513","Production","1092","Eggs, other bird, in shell (number)","2017","2017","1000 No","3120","F","FAO estimate"
"QCL","Crops and livestock products","3","Albania","5513","Production","1092","Eggs, other bird, in shell (number)","2018","2018","1000 No","3120","F","FAO estimate"
"QCL","Crops and livestock products","3","Albania","5513","Production","1092","Eggs, other bird, in shell (number)","2019","2019","1000 No","3120","F","FAO estimate"
"QCL","Crops and livestock products","3","Albania","5510","Production","869","Fat, cattle","2015","2015","tonnes","1673","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","3","Albania","5510","Production","869","Fat, cattle","2016","2016","tonnes","1687","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","3","Albania","5510","Production","869","Fat, cattle","2017","2017","tonnes","1693","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","3","Albania","5510","Production","869","Fat, cattle","2018","2018","tonnes","1673","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","3","Albania","5510","Production","869","Fat, cattle","2019","2019","tonnes","1593","Im","FAO data based on imputation methodology"
