Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
MK,Macro Indicators,75,Gambia,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,719.77144,Fc,Calculated data,
MK,Macro Indicators,73,Georgia,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,15141.60627,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,73,Georgia,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,3857.336062,Fc,Calculated data,
MK,Macro Indicators,79,Germany,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,3466790.065,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,79,Germany,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,42321.96724,Fc,Calculated data,
MK,Macro Indicators,81,Ghana,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,55009.73059,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,81,Ghana,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,1950.234376,Fc,Calculated data,
MK,Macro Indicators,84,Greece,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,195222.5025,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,84,Greece,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,17455.9603,Fc,Calculated data,
MK,Macro Indicators,85,Greenland,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,2707.139441,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,85,Greenland,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,47988.71589,Fc,Calculated data,
MK,Macro Indicators,86,Grenada,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,1061.631212,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,86,Grenada,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,9892.479404,Fc,Calculated data,
MK,Macro Indicators,89,Guatemala,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,68663.31448,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,89,Guatemala,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,4140.717193,Fc,Calculated data,
MK,Macro Indicators,90,Guinea,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,8603.833168,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,90,Guinea,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,694.085666,Fc,Calculated data,
MK,Macro Indicators,175,Guinea-Bissau,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,1179.004191,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,175,Guinea-Bissau,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,649.339367,Fc,Calculated data,
MK,Macro Indicators,91,Guyana,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,3436.624697,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,91,Guyana,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,4444.085562,Fc,Calculated data,
MK,Macro Indicators,93,Haiti,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,7597.784385,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,93,Haiti,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,700.428731,Fc,Calculated data,
MK,Macro Indicators,95,Honduras,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,21717.60896,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,95,Honduras,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,2383.180722,Fc,Calculated data,
MK,Macro Indicators,97,Hungary,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,127507.4736,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,97,Hungary,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,13073.29027,Fc,Calculated data,
MK,Macro Indicators,99,Iceland,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,20618.36326,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,99,Iceland,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,62014.96435,Fc,Calculated data,
MK,Macro Indicators,100,India,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,2286233.127,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,100,India,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,1726.538729,Fc,Calculated data,
MK,Macro Indicators,101,Indonesia,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,931877.364,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,101,Indonesia,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,3568.832647,Fc,Calculated data,
MK,Macro Indicators,102,Iran (Islamic Republic of),6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,425402.616,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,102,Iran (Islamic Republic of),6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,5299.156022,Fc,Calculated data,
MK,Macro Indicators,103,Iraq,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,166602.4887,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,103,Iraq,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,4478.2519,Fc,Calculated data,
MK,Macro Indicators,104,Ireland,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,300523.2976,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,104,Ireland,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,63588.30675,Fc,Calculated data,
MK,Macro Indicators,105,Israel,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,318950.6003,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,105,Israel,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,38935.21694,Fc,Calculated data,
MK,Macro Indicators,106,Italy,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,1875579.884,X,International reliable sources,Data from UNSD AMA
